Topic,Topic_isced,Size,Discipline,Discipline_isced,Nationality,Gender,Position,Country_University,Prestige,Year,Location,
,Life sciences,4,Bioinformatics,Life sciences;Computing,,Female,Student,Germany,151-200,2018,Santa Fe,
Ecology,Life sciences,3,Physics,Physical sciences,Brazilian,Male,Student,Germany,151-200,2013,Santa Fe,
,Life sciences,8,Physics,Physical sciences,,Female,Postdoc,Australia,201-300,2017,Santa Fe,
Ecology,Life sciences,2,Ecology,Life sciences,,Male,Student,Australia,201-300,2014,Santa Fe,
Biology,Life sciences,7,Physics,Physical sciences,,Male,Student ,United States,Top 50,2007,Santa Fe,
Ecology,Life sciences,4,Biomedicine,Health,,Male,Student,United States,Top 50,2007,Santa Fe,
,Life sciences,8,Oceanography,Physical sciences,,Female,Student,United States,Top 50,2017,Santa Fe,
Biology,Life sciences,10,Economics,Social and behavioural science,,Male,Student,Germany,Not University,2014,Santa Fe,
Biology,Life sciences,10,Physics,Physical sciences,,Male,Student,Germany,Not University,2014,Santa Fe,
Ecology,Life sciences,8,Complex Sytems,Physical sciences,,Male,Student,Canada,51-100,2013,Santa Fe,
,Life sciences,8,Business,Business and administration,,Male,Professor,United States,101-150,2017,Santa Fe,
"Computer Science, Methods",Life sciences,1,Engineering,Engineering and engineering trades,,Male,Industry,United States,Not University,2009,Santa Fe,
,Life sciences,6,Computer Science,Computing,,Male,Government,United States,Not University,2016,Santa Fe,
,Life sciences,8,Data Science,Mathematics and statistics,,Female,Government,United States,Not University,2017,Santa Fe,
Ecology,Life sciences,8,Ecology,Life sciences,,Male,Student,Australia,51-100,2013,Santa Fe,
Biology,Life sciences,7,Biology,Life sciences,,Male,,Colombia,Unlisted,2007,Santa Fe,
Biology,Life sciences,2,Biology,Life sciences,,Male,,Colombia,Unlisted,2007,Santa Fe,
Ecology,Life sciences,7,Management,Business and administration,,Female,Student,United States,Unlisted,2010,Santa Fe,
Ecology,Life sciences,5,Philosophy,Humanities,United States,Male,Researcher,United States,Unlisted,2013,Santa Fe,
Ecology,Life sciences,5,"Genetics, Biology",Life sciences,,Female,PostDoc,United States,151-200,2013,Santa Fe,
"Ecology, Information Theory",Life sciences,4,Statistics,Mathematics and statistics,,Female,Student,China,51-100,2007,Beijing,
"Agriculture, Economics",Life sciences,2,"Biology, Engineering",Life sciences;Physical sciences,,Female,Industry,United States,Not University,2006,Santa Fe,
Ecology,Life sciences,2,Computational Biologist,Life sciences;Computing,,Male,Researcher,United States,Unlisted,2013,Santa Fe,
Ecology,Life sciences,2,Systems Science,Architecture and building;Computing,,Male,Student,United States,Unlisted,2013,Santa Fe,
"Biology, Ecology",Life sciences,5,Biology,Life sciences,,Female,Student,United States,Top 50,2009,Santa Fe,
Biology,Life sciences,2,Biology,Life sciences,,Male,Postdoc,United States,Top 50,2007,Santa Fe,
Biology,Life sciences,5,"Ecology, Evolutionary Biology",Life sciences,,Male,Student,United States,Top 50,2007,Santa Fe,
Animal Behavior,Life sciences,2,"Ecology, Evolutionary Biology",Life sciences,,Male,Student,United States,Top 50,2007,Santa Fe,
Ecology,Life sciences,2,"Ecology, Evolutionary Biology",Life sciences,,Male,Student,United States,Top 50,2007,Santa Fe,
Biology,Life sciences,10,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
Ecology,Life sciences,7,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
"Nonlinear Dynamics, Neuroscience",Life sciences,1,Neuroscience,Social and behavioural science,,,Student,United States,101-150,2006,Santa Fe,
,Life sciences,2,,,,,,China,Unlisted,2005,Beijing,
Ecology,Life sciences,7,Biology,Life sciences,,Female,Student,United States,Top 50,2010,Santa Fe,
Ecology,Life sciences,7,Biology,Life sciences,,Female,Student,United States,Top 50,2010,Santa Fe,
Ecology,Life sciences,5,Physics,Physical sciences,,Male,Student,United States,401-500,2013,Santa Fe,
,Life sciences,2,,,,,,China,Not University,2005,Beijing,Could also be Xia Li from Tsinghua University
Ecology,Life sciences,5,Neuroscience,Social and behavioural science,United States,Female,PostDoc,Germany,401-500,2013,Santa Fe,
Biology,Life sciences,7,Marketing,Business and administration,,Male,Student ,United States,151-200,2007,Santa Fe,
Ecology,Life sciences,5,Computer Science,Computing,China,Male,Student,China,Top 50,2007,Beijing,
Ecology,Life sciences,4,Computer Science,Computing,China,Male,Student,China,Top 50,2007,Beijing,
Ecology,Life sciences,5,Computer Science,Computing,China,Male,Student,China,Top 50,2007,Beijing,
Ecology,Life sciences,5,Computer Science,Computing,China,Male,Student,China,Top 50,2007,Beijing,
Biology,Life sciences,2,"Biology, Physics",Life sciences;Physical sciences,,Male,Student,Germany,Unlisted,2007,Santa Fe,
,Life sciences,2,,,,Female,,Mexico,Unlisted,2005,Santa Fe,
Ecology,Life sciences,7,Biology,Life sciences,,Female,Student,Venezuela,Unlisted,2010,Santa Fe,
Ecology,Life sciences,4,Biology,Life sciences,,Male,Student,Venezuela,Unlisted,2010,Santa Fe,
Ecology,Life sciences,7,Ecology,Life sciences,Brazilian,Female,Student,Brazil,151-200,2014,Santa Fe,
Biology,Life sciences,2,Physics,Physical sciences,,Female,Student,Spain,201-300,2006,Santa Fe,
"Agriculture, Economics",Life sciences,2,Computer Science,Computing;Life sciences,,Male,Student,France,201-300,2006,Santa Fe,
,Life sciences,4,Geography,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
,Life sciences,4,Psychology,Social and behavioural science,,Male,Student,France,101-150,2016,Santa Fe,
Marine Sciences,Life sciences,2,Marine Sciences,Physical sciences,,Female,Student,Netherlands,51-100,2006,Santa Fe,
,Life sciences,2,,,,Female,,United Kingdom,Top 50,2005,Santa Fe,
,Life sciences,7,Philosophy,Humanities,,Male,Student,Netherlands,101-150,2015,Santa Fe,Possibly published
"Ecology, Information Theory",Life sciences,4,Molecular Biology,Life sciences,,Male,Student,United States,101-150,2007,Beijing,
Biology,Life sciences,7,Philosophy,Humanities,,Male,Student,United States,101-150,2007,Santa Fe,
Ecology,Life sciences,4,"Earth Science, Ecology, Evolutionary Biology",Life sciences,,Male,Student,United States,101-150,2007,Beijing,
Ecology,Life sciences,5,"Earth Science, Ecology, Evolutionary Biology",Life sciences,,Male,Student,United States,101-150,2007,Beijing,
,Life sciences,7,Anthropology,Social and behavioural science,,Female,Student,United States,101-150,2015,Santa Fe,Possibly published
,Life sciences,8,Ecology,Life sciences,,Female,Student,United States,101-150,2017,Santa Fe,
,Life sciences,7,"Zoology, Mathematics, Biology",Life sciences;Mathematics and statistics,,Male,Student,Canada,Top 50,2015,Santa Fe,Possibly published
"Ecology, Information Theory",Life sciences,3,Forest Ecology,Life sciences,,Female,Postdoc,Canada,Top 50,2007,Beijing,
"Biology, Ecology",Life sciences,5,Physics,Physical Sciences,Canada,Male,Student,Canada,151-200,2009,Santa Fe,Will have joined Princeton University the following year
,Life sciences,4,Biology,Life sciences,China,Female,Student,United States,Top 50,2016,Santa Fe,
,Life sciences,3,Environmental Science,Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,Published: https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12821
Ecology,Life sciences,8,Applied Mathematics,Mathematics and statistics,,Female,Student,United States,51-100,2013,Santa Fe,
Ecology,Life sciences,7,Physics,Physical Sciences,,Male,Student,United States,51-100,2010,Santa Fe,
Ecology,Life sciences,4,"Physics, Computer Science, Engineering",Physical sciences;Engineering and engineering trades,,Male,Student,United States,51-100,2007,Santa Fe,
,Life sciences,4,Animal Behavior,Life sciences,,Female,Student,United States,51-100,2016,Santa Fe,
,Life sciences,2,Oceanography,Physical sciences,,Male,Student,United States,51-100,2017,Santa Fe,
Animal Behavior,Life sciences,2,Archaeology,Humanities,,Female,Student,United States,Top 50,2007,Santa Fe,
,Life sciences,7,"Ecology, Biology",Life sciences,,Female,Student,United States,Top 50,2015,Santa Fe,Possibly published
Biology,Life sciences,5,Cell Biology,Life sciences,,Male,Student,United States,Top 50,2007,Santa Fe,
,Life sciences,4,,,,Male,,United States,Top 50,2005,Santa Fe,
,Life sciences,4,Biology,Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,
,Life sciences,6,Biology,Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,
,Life sciences,4,"Biology, Physics",Life sciences;Physical sciences,,Male,Student,United Kingdom,Top 50,2016,Santa Fe,
,Life sciences,6,"Biology, Physics",Life sciences;Physical sciences,,Male,Student,United Kingdom,Top 50,2016,Santa Fe,
Biology,Life sciences,10,Biophysical Sciences,Life sciences;physical sciences,United States,Male,Student,United States,Top 50,2014,Santa Fe,
,Life sciences,6,Engineering,Engineering and engineering trades,,Female,Student,United States,301-400,2016,Santa Fe,
Ecology,Life sciences,5,Ecology,Life sciences,,Female,Student,United States,Top 50,2013,Santa Fe,
Biology,Life sciences,10,Mathematics,Mathematics and statistics,,Male,PostDoc,United States,Top 50,2014,Santa Fe,
,Life sciences,7,Economics,Social and behavioural science,,Male,Student,Denmark,Top 50,2015,Santa Fe,Possibly published
Ecology,Life sciences,4,Biology,Life sciences,,Male,Student,United States,51-100,2010,Santa Fe,
,Life sciences,7,"Physics, Complex Systems",Physical sciences,,Female,Student,Sweden,101-150,2015,Santa Fe,Possibly published
,Life sciences,2,Physics,Physical sciences,,Male,Student,United States,201-300,2018,Santa Fe,
,Life sciences,8,Ecology,Life sciences,,Female,Student,Hong Kong,101-150,2017,Santa Fe,
,Life sciences,4,,,,Female,,United States,201-300,2005,Santa Fe,
Ecology,Life sciences,7,Engineering,Engineering and engineering trades,,Male,PostDoc,Slovenia,401-500,2014,Santa Fe,
Ecology,Life sciences,7,"Computer Science, Biology",Computing,,Male,Student,United States,151-200,2010,Santa Fe,
"Ecology, Information Theory",Life sciences,4,Human Genetics,Life sciences,,Female,Student,United States,Top 50,2007,Beijing,
"Ecology, Information Theory",Life sciences,3,"Ecology, Evolutionary Biology",Life sciences,United States,Female,Student,United States,Top 50,2007,Beijing,
,Life sciences,6,"Ecology, Evolution, and Behavior",Life sciences,,Female,Student,United States,Top 50,2016,Santa Fe,
Ecology,Life sciences,2,Geography,Physical sciences,,Female,Student,Canada,101-150,2007,Santa Fe,
"Genetics, Biology",Life sciences,3,Sustainability,Environmental protection,Austrian,Male,Student,Austria,Unlisted,2013,Santa Fe,
Ecology,Life sciences,5,Biology,Life sciences,,Male,Student,United States,301-400,2007,Beijing,
Ecology,Life sciences,5,Biology,Life sciences,,Male,Student,United States,301-400,2007,Beijing,
"Ecology, Information Theory",Life sciences,4,Physics,Physical sciences,Turkey,Male,Student,United States,301-400,2007,Beijing,
Marine Sciences,Life sciences,2,Biology,Life sciences,,Male,Student,United States,301-400,2006,Santa Fe,
Biology,Life sciences,2,Economics,Social and behavioural science,,Male,Postdoc,Australia,101-150,2007,Santa Fe,
Biology,Life sciences,4,Economics,Social and behavioural science,,Male,Postdoc,Australia,101-150,2007,Santa Fe,
Biology,Life sciences,7,Economics,Social and behavioural science,,Male,Postdoc,Australia,101-150,2007,Santa Fe,
Ecology,Life sciences,5,Physics,Physical sciences,,Female,Student,United States,201-300,2013,Santa Fe,
Ecology,Life sciences,5,Ecology,Life sciences,,Female,Student,United States,301-400,2013,Santa Fe,
,Life sciences,6,Ecology,Life sciences,France,Male,Postdoc,United Kingdom,Top 50,2016,Santa Fe,
,Life sciences,4,"Mathematics, Biology",Mathematics and statistics;Life sciences,,Female,Student,United Kingdom,Top 50,2018,Santa Fe,
Ecology,Life sciences,3,Biochemistry,Life sciences,Chinese,Female,Student,United States,Top 50,2013,Santa Fe,
Biology,Life sciences,5,Biotechnology,Life sciences,,Female,Professor,Pakistan,Unlisted,2007,Santa Fe,
,Life sciences,8,Physics,Physical sciences,,Male,Student,United States,151-200,2017,Santa Fe,
,Life sciences,3,"Biology, Ecology",Life sciences,,Female,Student,Brazil,151-200,2016,Santa Fe,Published: https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12821
Biology,Life sciences,10,Physics,Physical sciences,Italian,Male,Student,United States,Unlisted,2014,Santa Fe,
,Life sciences,7,Oceanography,Physical sciences,,Male,Student,United Kingdom,Unlisted,2015,Santa Fe,Possibly published
Ecology,Life sciences,4,Natural Systems,Life sciences,,Male,Student,United Kingdom,Unlisted,2008,Santa Fe,
Biology,Life sciences,4,Natural Systems,Life sciences,,Male,Student,United Kingdom,Unlisted,2008,Santa Fe,
Ecology,Life sciences,4,Information Technology,Computing,,Male,Student ,Australia,51-100,2007,Santa Fe,
"Biology, Ecology",Life sciences,5,"Biology, Ecology",Life sciences,,Female,Student,United States,Top 50,2009,Santa Fe,
Biology,Life sciences,4,Philosophy,Humanities,,Male,Student,United States,Top 50,2008,Santa Fe,
Ecology,Life sciences,8,Physics,Physical sciences,Philippeano,Male,Student,Philippines,Unlisted,2013,Santa Fe,
Ecology,Life sciences,5,Physics,Physical sciences,Philippeano,Male,Student,Philippines,Unlisted,2013,Santa Fe,
Ecology,Life sciences,8,Ecology,Life sciences,,Female,Student,Norway,Unlisted,2013,Santa Fe,
Biology,Life sciences,7,"Nursing Science, Information Science",Health,,Female,Professor,United States,101-150,2007,Santa Fe,
,Life sciences,3,,,,Female,,Austria,151-200,2005,Beijing,
Biology,Life sciences,2,Chemistry,Physical sciences,,Female,Student,Austria,151-200,2006,Santa Fe,
Biology,Life sciences,10,Chemistry,Physical sciences,Spanish,Male,Student,Switzerland,51-100,2014,Santa Fe,
Ecology,Life sciences,4,Ecology,Life sciences,,Female,Student,Spain,301-400,2008,Santa Fe,
,Life sciences,4,Biology,Life sciences,,Male,Student,Netherlands,51-100,2018,Santa Fe,
Ecology,Life sciences,5,"Economics, Geography",Social and behavioural science,,,Student,Netherlands,51-100,2007,Beijing,
Biology,Life sciences,10,Biology,Life sciences,,Female,Student,Netherlands,51-100,2014,Santa Fe,
Biology,Life sciences,4,"Structural Biology, Medicine",Life sciences;Health,,Male,Postdoc,United States,Top 50,2007,Santa Fe,
Biology,Life sciences,10,Medicine,Health,United States,Male,Researcher,United States,Not University,2014,Santa Fe,
Biology,Life sciences,4,Biochemistry,Life sciences,,Male,Student,United States,201-300,2007,Santa Fe,
Ecology,Life sciences,7,Physics,Physical sciences,Spanish,Male,PostDoc,Belgium,201-300,2014,Santa Fe,
Ecology,Life sciences,4,Ecology,Life sciences,,Male,Student,Netherlands,101-150,2008,Santa Fe,
Biology,Life sciences,2,Applied Mathematics,Mathematics and statistics,Poland,Female,Student,Poland,301-400,2007,Santa Fe,
Biology,Life sciences,4,Evolutionary Biology,Life sciences,United States,Male,Student,United States,301-400,2008,Santa Fe,
